Q6,Q7,Q9,Q10,Q13,Q14,Q16,Q6_polarity,Q6_subjectivity,Q7_polarity,Q7_subjectivity,Q9_polarity,Q9_subjectivity,Q10_polarity,Q10_subjectivity,Q13_polarity,Q13_subjectivity,Q14_polarity,Q14_subjectivity,Q16_polarity,Q16_subjectivity
Yes,Sometimes,No,Moderately Important,I'm worried about the safety of using electricity for taste.,I often find them too bland.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,-0.16666666666666666,0.8333333333333334,-0.16666666666666666,0.8333333333333334
No,Never,No,Very Important,I'm worried about the safety of using electricity for taste.,Restaurants should offer more flavorful low-sodium dishes.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,0.5,0.5,1.0,1.0
No,Sometimes,Yes,Very Important,I'm worried about the safety of using electricity for taste.,Make menus clearer about salt content.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Yes,Sometimes,Yes,Very Important,I'm worried about the safety of using electricity for taste.,I often find them too bland.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,-0.16666666666666666,0.8333333333333334,1.0,1.0
Sometimes,Always,Yes,Very Important,I think it's a fascinating innovation!,I often find them too bland.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.875,0.8500000000000001,-0.16666666666666666,0.8333333333333334,-0.16666666666666666,0.8333333333333334
No,Never,Yes,Moderately Important,I'm worried about the safety of using electricity for taste.,I often find them too bland.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,-0.16666666666666666,0.8333333333333334,1.0,1.0
Sometimes,Never,Yes,Very Important,Sounds promising but needs more testing.,"Some dishes taste fine, but others really lack depth.",Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.35,0.5,0.30833333333333335,0.35,1.0,1.0
Yes,Never,No,Very Important,I think it's a fascinating innovation!,Make menus clearer about salt content.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.875,0.8500000000000001,0.0,0.0,1.0,1.0
No,Never,No,Not Important,Sounds promising but needs more testing.,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.35,0.5,0.0,0.0,1.0,1.0
No,Sometimes,No,Moderately Important,I think it's a fascinating innovation!,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.875,0.8500000000000001,0.5,0.5,-0.16666666666666666,0.8333333333333334
No,Sometimes,No,Moderately Important,Sounds promising but needs more testing.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.35,0.5,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,No,Not Important,Sounds promising but needs more testing.,"Some dishes taste fine, but others really lack depth.",Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.35,0.5,0.30833333333333335,0.35,-0.16666666666666666,0.8333333333333334
No,Always,Yes,Not Important,I'm worried about the safety of using electricity for taste.,Make menus clearer about salt content.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
No,Sometimes,Yes,Very Important,No major concerns as long as it's approved.,Restaurants should offer more flavorful low-sodium dishes.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,0.5,0.5,0.0,0.0
Yes,Sometimes,Yes,Very Important,No major concerns as long as it's approved.,I often find them too bland.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,-0.16666666666666666,0.8333333333333334,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,Yes,Very Important,Sounds promising but needs more testing.,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.35,0.5,0.5,0.5,-0.16666666666666666,0.8333333333333334
Sometimes,Always,Yes,Very Important,I think it's a fascinating innovation!,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.875,0.8500000000000001,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,Yes,Moderately Important,Sounds promising but needs more testing.,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.35,0.5,0.5,0.5,-0.16666666666666666,0.8333333333333334
No,Never,Yes,Moderately Important,I'm worried about the safety of using electricity for taste.,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Yes,Always,Yes,Moderately Important,I'm worried about the safety of using electricity for taste.,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.5,0.5,-0.16666666666666666,0.8333333333333334
Yes,Always,No,Not Important,Sounds promising but needs more testing.,Make menus clearer about salt content.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.35,0.5,0.0,0.0,0.0,0.0
Yes,Always,No,Not Important,I'm not sure it would work for everyone.,Make menus clearer about salt content.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,-0.25,0.8888888888888888,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,No,Moderately Important,I think it's a fascinating innovation!,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.875,0.8500000000000001,0.0,0.0,1.0,1.0
Sometimes,Sometimes,Yes,Very Important,No major concerns as long as it's approved.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Never,No,Very Important,No major concerns as long as it's approved.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,0.0,0.0,-0.16666666666666666,0.8333333333333334
No,Never,Yes,Not Important,No major concerns as long as it's approved.,Restaurants should offer more flavorful low-sodium dishes.,Too Salty,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,-0.040625,0.45,0.5,0.5,0.0,0.0
No,Always,No,Moderately Important,I'm not sure it would work for everyone.,"Some dishes taste fine, but others really lack depth.",Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,-0.25,0.8888888888888888,0.30833333333333335,0.35,-0.16666666666666666,0.8333333333333334
No,Sometimes,Yes,Not Important,No major concerns as long as it's approved.,Make menus clearer about salt content.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,-0.040625,0.45,0.0,0.0,-0.16666666666666666,0.8333333333333334
No,Sometimes,No,Moderately Important,I'm worried about the safety of using electricity for taste.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,Yes,Moderately Important,No major concerns as long as it's approved.,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,-0.040625,0.45,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Never,No,Very Important,No major concerns as long as it's approved.,Restaurants should offer more flavorful low-sodium dishes.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,0.5,0.5,-0.16666666666666666,0.8333333333333334
No,Sometimes,No,Not Important,I think it's a fascinating innovation!,Introduce spice blends that enhance flavor without salt.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.875,0.8500000000000001,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Sometimes,Yes,Very Important,I'm not sure it would work for everyone.,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.25,0.8888888888888888,0.0,0.0,1.0,1.0
Sometimes,Always,Yes,Moderately Important,Sounds promising but needs more testing.,"Some dishes taste fine, but others really lack depth.",Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.35,0.5,0.30833333333333335,0.35,1.0,1.0
Sometimes,Always,No,Very Important,I'm not sure it would work for everyone.,I often find them too bland.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.25,0.8888888888888888,-0.16666666666666666,0.8333333333333334,1.0,1.0
No,Never,Yes,Very Important,I think it's a fascinating innovation!,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.875,0.8500000000000001,0.0,0.0,1.0,1.0
No,Sometimes,No,Very Important,I'm not sure it would work for everyone.,Make menus clearer about salt content.,Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.25,0.8888888888888888,0.0,0.0,-0.16666666666666666,0.8333333333333334
Sometimes,Always,Yes,Moderately Important,No major concerns as long as it's approved.,"Some dishes taste fine, but others really lack depth.",Too Bland,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,-0.040625,0.45,0.30833333333333335,0.35,-0.16666666666666666,0.8333333333333334
Sometimes,Always,Yes,Not Important,I'm worried about the safety of using electricity for taste.,"Some dishes taste fine, but others really lack depth.",Perfect,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.30833333333333335,0.35,1.0,1.0
No,Always,No,Very Important,No major concerns as long as it's approved.,Introduce spice blends that enhance flavor without salt.,Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,-0.040625,0.45,0.0,0.0,1.0,1.0
